#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
4.009921,2,2,245,659
8.730318,3,2,306,904
8.273295,4,2,370,1209
6.382591,2,2,339,905
8.047322,3,2,220,724
4.656874,4,2,240,821
9.384779,5,2,397,1385
15.396846,6,2,422,1699
11.201582,7,2,419,1934
15.372656,8,2,552,2583
22.405010,9,2,583,2829
17.488751,9,2,640,3098
18.394314,10,2,632,3337
31.378271,11,2,685,3704
24.009211,12,2,778,4185
28.344214,13,2,821,4573
29.765720,14,2,844,4951
35.563609,15,2,893,5413
37.317211,16,2,912,5744
38.696929,17,2,949,6133
45.124806,18,2,986,6587
44.598838,19,2,1016,7012
50.854393,20,2,1022,7371
50.147357,21,2,1038,7756
55.771152,22,2,1050,8104
53.712586,22,2,1045,8090
56.788904,22,2,1051,8085
58.934915,23,2,1080,8505
67.556501,23,2,1086,8574
57.850404,23,2,1118,8668
62.773059,23,2,1126,8675
61.042496,23,2,1111,8613
62.532449,22,2,1104,8200
59.145753,23,2,1131,8575
61.504489,23,2,1146,8595
9.029853,2,2,342,935
14.977025,3,2,516,1712
25.095024,4,2,588,2284
18.330006,5,2,618,2740
18.186110,6,2,579,2836
27.567997,7,2,566,2857
21.431621,8,2,595,2973
22.429485,9,2,649,3236
24.197589,9,2,746,3662
28.946487,10,2,765,4110
29.572938,11,2,865,4761
35.352558,12,2,933,5345
32.073015,13,2,952,5758
39.608439,14,2,957,6077
39.112412,15,2,957,6320
40.116856,16,2,971,6521
41.623701,17,2,1011,6781
48.130152,18,2,1046,7041
50.744027,19,2,1098,7396
49.656244,20,2,1132,7709
48.944799,20,2,1138,7615
60.308378,21,2,1220,8151
56.607084,22,2,1242,8607
67.118544,23,2,1285,9104
73.526911,24,2,1305,9535
67.847883,24,2,1288,9462
64.498734,24,2,1305,9460
68.979995,24,2,1301,9364
76.152417,25,2,1312,9646
70.793346,25,3,1352,10032
69.234035,25,3,1327,9977
79.334994,25,4,1374,10343
72.771479,25,5,1424,10796
76.923372,25,6,1433,11013
78.565035,25,7,1441,11229
74.211005,25,8,1447,11389
77.642778,25,9,1454,11571
74.310801,25,10,1468,11804
77.347149,25,10,1469,11702
78.744590,25,11,1482,11967
76.593933,25,12,1519,12290
78.361474,25,12,1505,12113
73.117477,25,12,1502,11943
75.961132,25,12,1497,11746
73.301232,25,13,1502,11956
72.254595,25,13,1505,11860
74.316468,25,14,1488,11993
75.845876,25,15,1473,12158
77.243309,25,16,1482,12371
49.411879,10,32,1182,10677
73.370103,25,17,1507,12426
78.206435,25,18,1490,12568
72.519298,25,17,1490,12208
72.887505,25,18,1487,12432
73.289444,25,19,1507,12704
74.183957,25,19,1531,12787
73.579916,25,19,1528,12727
78.956573,25,20,1511,12810
72.716091,25,20,1503,12711
73.745409,25,21,1524,12942
75.767924,25,22,1517,13112
80.134893,25,23,1524,13319
77.328361,25,24,1556,13717
82.369899,25,24,1577,13771
80.029938,25,25,1569,14000
80.493783,25,25,1574,14026
78.897906,25,25,1559,13913
80.110096,25,25,1569,13959
81.283011,25,26,1545,14133
85.215973,25,26,1563,14196
81.147067,25,26,1541,13981
80.084413,25,26,1504,13897
80.616051,25,26,1513,13787
80.530321,25,25,1481,13226
76.658612,25,26,1495,13352
79.774296,25,26,1499,13169
80.995717,25,27,1497,13139
75.174922,25,27,1522,13054
74.530322,25,28,1502,13035
76.487607,25,29,1445,12794
72.588068,25,29,1457,12685
71.610462,25,30,1426,12680
76.803039,25,31,1393,12680
74.827548,25,32,1373,12758
73.839994,25,32,1370,12741
80.777374,25,33,1347,12801
76.617947,25,32,1371,12743
75.973033,25,32,1369,12729
72.021068,25,32,1364,12732
72.430973,25,32,1362,12713
76.240074,25,32,1354,12680
73.260335,25,32,1359,12695
73.895809,25,32,1355,12692
72.054434,25,32,1353,12690
72.606079,25,31,1364,12630
95.047179,25,31,1349,12560
82.085522,25,31,1339,12520
74.973378,25,31,1342,12525
71.780879,25,31,1342,12530
84.980517,25,32,1322,12593
71.837872,25,32,1326,12606
74.799834,25,32,1320,12602
71.603798,25,32,1313,12562
71.711259,25,32,1321,12604
95.168023,25,33,1294,12614
78.766207,25,32,1304,12518
71.496026,25,32,1305,12495
81.336374,25,32,1313,12542
71.956605,25,32,1312,12549
77.616939,25,32,1307,12493
84.957152,25,32,1309,12502
70.872416,25,32,1303,12489
80.760950,25,32,1302,12464
70.774838,25,32,1303,12481
73.326638,25,33,1279,12504
72.424118,25,33,1274,12465
70.887774,25,33,1275,12478
71.497951,25,33,1272,12453
71.103126,25,33,1275,12467
70.861899,25,33,1276,12479
74.567868,25,34,1251,12501
70.708638,25,34,1250,12490
74.823398,25,34,1252,12483
75.425708,25,34,1254,12506
71.229256,25,34,1255,12494
71.771343,25,34,1254,12514
72.252744,25,34,1252,12479
72.687531,25,34,1255,12480
72.100016,25,35,1232,12503
70.411746,25,35,1233,12501
77.822106,25,35,1235,12516
71.448394,25,35,1234,12517
83.150101,25,35,1238,12563
72.136258,25,35,1238,12544
76.656338,25,35,1237,12549
