#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.067919,0.021230,15.245385,0.000000,0.000000,15.335772
0.126131,0.046236,12.637949,0.000000,0.002317,12.814602
0.124905,0.014386,18.313583,0.000000,0.000000,18.453576
0.364158,0.144307,12.447639,0.000000,0.000828,12.957644
4.461648,0.452808,5.986949,4.009921,0.043545,14.955326
4.308094,0.104644,16.107339,8.730318,0.162027,29.412717
4.159394,0.081666,12.747325,8.273295,0.169902,25.432119
0.135108,0.012322,15.188546,0.000000,0.000000,15.336116
0.249114,0.103424,13.027423,0.000000,0.001200,13.382415
0.342906,0.016004,14.424558,0.000000,0.000000,14.783756
0.200564,0.104491,12.808883,0.000000,0.001001,13.115419
4.299808,0.370108,9.135811,6.382591,0.083546,20.272058
4.269077,0.168616,11.188877,8.047322,0.229359,23.903885
2.954940,0.057544,8.445129,4.656874,0.176392,16.291105
3.893922,0.058218,13.602243,9.384779,0.198016,27.137399
5.848168,0.109691,16.470951,15.396846,0.281984,38.108043
4.549431,0.096395,11.383253,11.201582,0.348648,27.579946
5.100681,0.063011,18.874915,15.372656,0.466545,39.878254
6.818439,0.125448,23.776768,22.405010,59.456103,112.582594
4.097197,0.062752,15.109790,17.488751,0.668419,37.427823
4.325565,0.080339,15.158941,18.394314,0.860333,38.820535
4.697392,0.065790,16.469447,31.378271,0.925369,53.536769
4.551645,0.048485,18.674370,24.009211,1.061919,48.346473
5.009998,0.052740,19.106516,28.344214,1.254140,53.768577
7.921370,0.093181,28.843677,29.765720,1.382829,68.007555
9.454064,0.067713,34.144749,35.563609,1.620946,80.852319
6.462021,0.069624,24.846906,37.317211,1.832902,70.530006
7.776364,0.068579,30.640001,38.696929,2.096726,79.279538
6.750441,0.063087,27.973393,45.124806,2.346900,82.259666
6.927173,0.061846,28.822996,44.598838,2.512574,82.924290
6.860574,0.062956,26.958881,50.854393,2.884896,87.622376
7.005173,0.059845,30.971078,50.147357,3.063205,91.247291
7.477135,0.048422,31.289873,55.771152,4.594014,99.181624
7.476232,0.037266,29.731046,53.712586,4.844921,95.802739
7.622618,0.031532,29.836534,56.788904,6.491975,100.772085
8.047670,0.033300,32.725777,58.934915,5.805326,105.547565
8.562486,0.037155,32.563048,67.556501,5.650405,114.370453
10.958376,0.054106,38.640594,57.850404,5.264408,112.768685
8.875367,0.048876,34.048011,62.773059,9.006187,114.752034
8.432877,0.058077,34.524967,61.042496,6.503238,110.562363
33.134976,0.091062,43.058178,62.532449,3.451440,142.269065
7.531812,0.047171,32.663575,59.145753,4.638905,104.027796
9.015765,0.056812,39.355336,61.504489,6.222363,116.155435
0.234786,0.013385,13.084150,0.000000,0.000000,13.332455
0.134250,0.073660,12.955337,0.000000,0.000748,13.164404
3.863388,0.214483,10.940609,9.029853,0.129043,24.177628
4.673015,0.133356,15.759239,14.977025,0.237867,35.780814
6.377010,0.147416,15.261449,25.095024,0.320284,47.201454
5.121635,0.135078,12.386300,18.330006,0.369380,36.342772
4.730376,0.116969,11.114264,18.186110,0.672291,34.820254
7.373902,0.102899,21.320833,27.567997,0.988318,57.354329
6.540307,0.072641,19.596868,21.431621,0.869515,48.511276
5.934963,0.045513,17.657629,22.429485,42.805991,88.874522
6.270724,0.057114,24.986057,24.197589,0.899836,56.412212
14.850708,0.179927,31.296685,28.946487,1.198551,76.473140
6.998572,0.067734,22.385116,29.572938,1.246995,60.272201
6.716760,0.097098,23.731866,35.352558,1.449126,67.348199
9.255402,0.120739,27.260844,32.073015,1.794384,70.505102
6.724480,0.094870,23.657909,39.608439,1.922644,72.009031
6.868649,0.077380,24.050994,39.112412,2.159552,72.269689
7.865377,0.069627,31.829919,40.116856,2.330558,82.213061
5.864524,0.053340,25.365356,41.623701,2.464905,75.372644
5.767616,0.053503,26.110226,48.130152,2.516615,82.578900
6.034328,0.053201,28.144146,50.744027,2.722221,87.698600
6.160186,0.054639,28.063440,49.656244,5.297052,89.232907
7.972476,0.065369,33.655542,48.944799,2.751109,93.390103
7.765921,0.048496,35.110955,60.308378,3.138564,106.372902
9.178122,0.084050,37.597176,56.607084,3.533396,107.000525
9.799336,0.066798,44.231056,67.118544,4.615194,125.832308
10.372247,0.089990,46.498866,73.526911,7.423992,137.913497
9.925556,0.091754,44.750254,67.847883,5.479532,128.095873
9.402935,0.088417,40.211149,64.498734,8.741472,122.943353
12.216022,0.101835,46.739626,68.979995,7.232531,350.700254
12.392985,0.144979,38.701981,76.152417,4.718594,132.112814
10.837146,0.070920,42.225000,70.793346,10.554635,134.482120
11.588661,0.124029,42.116859,69.234035,4.676806,127.741663
7.917266,0.062729,37.291198,79.334994,5.217096,129.824802
7.888386,0.064788,38.502606,72.771479,5.241029,124.469903
7.371053,0.073102,40.359587,76.923372,5.421926,130.150145
6.820615,0.067093,42.362634,78.565035,5.640379,133.457116
6.885137,0.068023,37.606866,74.211005,5.946489,124.718937
7.009818,0.057288,42.422060,77.642778,6.041109,133.174473
6.906820,0.055617,38.647537,74.310801,8.706168,128.627780
7.070845,0.058941,42.243043,77.347149,6.005654,132.726908
7.556876,0.057525,43.966398,78.744590,5.983306,136.310060
8.488189,0.059322,43.960347,76.593933,7.969097,137.071829
8.903723,0.064430,45.672200,78.361474,7.289748,140.292465
8.764057,0.074955,45.421040,73.117477,7.512714,134.891255
8.700904,0.060250,47.238119,75.961132,5.760116,137.721891
8.788901,0.065657,43.517928,73.301232,8.566986,134.241895
8.895191,0.063929,44.184816,72.254595,6.159980,131.559932
11.540070,0.080592,46.192561,74.316468,6.304737,138.435363
8.361818,0.065756,40.494592,75.845876,6.539486,131.308714
8.878949,0.065547,47.029973,77.243309,6.802582,140.022068
8.557462,0.058798,49.992262,49.411879,9.486625,117.507804
8.459799,0.067867,50.575501,73.370103,7.427567,139.902307
9.190544,0.075438,52.886972,78.206435,10.625442,150.985759
8.094797,0.074346,45.917208,72.519298,6.821889,133.429351
9.313885,0.066535,47.696914,72.887505,7.068125,137.034591
9.633498,0.057055,50.684074,73.289444,11.419097,145.084025
9.972080,0.067873,52.477912,74.183957,10.004244,146.706879
9.066294,0.084653,50.683533,73.579916,8.567223,141.982867
8.992258,0.079565,46.885789,78.956573,10.115460,145.030812
9.526349,0.073307,49.069764,72.716091,7.947102,139.334492
13.778961,0.085763,52.932735,73.745409,8.264172,148.808736
8.979479,0.067991,46.910974,75.767924,9.631830,141.359874
13.219685,0.088795,60.557909,80.134893,12.545989,166.548246
11.479601,0.109124,56.882251,77.328361,12.112126,157.912532
11.718344,0.063863,64.368051,82.369899,9.237187,167.759033
11.843488,0.077586,63.913746,80.029938,10.678725,166.544238
10.385073,0.078949,60.423708,80.493783,12.271832,163.654496
9.725030,0.070740,54.531848,78.897906,12.991097,156.217782
9.883683,0.065504,54.297924,80.110096,9.316247,153.674469
11.134282,0.065534,56.709096,81.283011,11.388281,160.581156
11.242274,0.060977,63.966831,85.215973,13.089193,173.576933
11.160844,0.067164,61.204930,81.147067,12.255552,165.836516
13.792960,0.102257,59.738483,80.084413,11.977484,165.696364
12.445423,0.067031,57.452061,80.616051,12.819075,163.400852
8.405724,0.066083,54.276212,80.530321,9.904447,153.184342
7.633389,0.049300,46.777448,76.658612,10.999512,142.119615
6.475859,0.053079,46.832197,79.774296,8.765416,141.902714
6.217775,0.049002,46.913615,80.995717,10.781365,144.958471
5.217235,0.055446,40.150803,75.174922,8.642086,129.241975
5.367544,0.050034,39.948958,74.530322,9.193604,129.091770
5.467119,0.051258,41.136850,76.487607,10.968875,134.112698
7.126339,0.044374,44.042903,72.588068,8.974963,132.777414
8.652034,0.049281,51.437251,71.610462,9.091267,140.841363
6.786380,0.033103,47.922845,76.803039,10.197487,141.744376
7.157708,0.026360,43.295890,74.827548,12.520291,137.830284
8.857707,0.019561,48.617037,73.839994,9.066973,140.402833
10.481851,0.008355,53.527934,80.777374,21.062743,165.859633
6.619433,0.011405,39.970926,76.617947,12.074040,135.294860
6.099577,0.014727,43.126160,75.973033,18.781467,143.996266
9.244807,0.015623,51.302149,72.021068,12.572940,145.160273
7.558086,0.010512,42.370814,72.430973,14.260663,136.631890
7.058080,0.011169,46.090775,76.240074,20.258853,149.660107
29.039353,0.028053,55.781460,73.260335,18.178634,176.289008
8.362240,0.014999,46.758218,73.895809,20.100758,149.133252
8.284492,0.012623,46.738644,72.054434,31.228447,158.320420
15.523939,0.016655,47.591797,72.606079,13.824804,149.564205
15.651286,0.014881,50.681974,95.047179,15.521425,176.918206
7.417921,0.009363,48.874566,82.085522,19.466516,157.855979
7.329288,0.007168,46.325173,74.973378,19.741337,148.377305
7.892628,0.008206,42.772209,71.780879,10.655496,133.110662
6.868384,0.008126,39.679668,84.980517,13.383888,144.921485
7.732131,0.010373,41.052820,71.837872,15.660493,136.294435
9.030820,0.011462,47.913810,74.799834,16.972905,148.729768
8.176252,0.008651,43.211390,71.603798,18.951336,141.952192
8.612219,0.009319,48.502031,71.711259,9.379748,138.215383
6.980342,0.005416,38.055827,95.168023,26.013050,166.223736
6.337110,0.003573,40.770062,78.766207,15.195095,141.072853
6.368924,0.002958,34.063299,71.496026,16.291238,128.223493
6.392469,0.003656,35.960182,81.336374,16.838916,140.532660
6.455991,0.009817,38.437944,71.956605,17.668317,134.529748
6.161641,0.004239,35.744532,77.616939,18.379877,137.908249
8.245653,0.008053,37.083873,84.957152,18.949187,149.244918
7.546390,0.009674,43.712736,70.872416,20.107147,142.249637
6.821292,0.004862,41.718963,80.760950,24.878347,154.185143
7.610365,0.008164,41.450478,70.774838,9.049994,128.894803
8.970869,0.006759,49.141605,73.326638,12.966610,144.413607
8.811540,0.007320,44.257847,72.424118,14.904682,140.406646
7.872337,0.005763,37.143198,70.887774,16.687701,132.597543
9.445435,0.005879,44.231733,71.497951,17.975541,143.157527
7.956622,0.005687,37.310874,71.103126,19.965069,136.342128
8.003491,0.003527,37.389037,70.861899,9.588930,125.847798
11.666280,0.011468,50.851849,74.567868,16.842471,153.940664
8.296963,0.003546,36.098556,70.708638,13.861869,128.970667
8.186027,0.002352,42.071897,74.823398,15.357168,140.441988
8.560436,0.002773,43.696105,75.425708,17.103617,144.789527
9.112878,0.006184,40.760640,71.229256,17.125911,138.235799
8.761825,0.007773,42.397796,71.771343,18.932670,141.872266
