# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
2,511,0.056877,0.790041,0.575450
2,517,0.105328,1.761528,1.003556
2,517,0.115030,2.519636,0.897361
2,517,0.091462,2.081055,0.751328
2,517,0.115112,2.570783,0.866469
2,418,0.050239,0.916449,0.560001
2,1229,0.132835,3.435994,1.083538
2,1229,0.199143,6.233552,1.808992
2,1229,0.203667,6.110011,1.433719
2,1229,0.157084,4.134899,0.963559
3,192,0.039533,0.480054,0.382507
3,192,0.071230,0.695831,0.587784
3,192,0.072551,0.701686,0.613895
3,192,0.073656,0.633526,0.691995
3,192,0.079717,0.572717,0.700660
4,303,0.081006,0.863974,1.242764
4,303,0.115753,0.896491,1.099314
4,303,0.084958,0.897229,0.755488
4,303,0.087035,0.945236,0.648892
4,303,0.094645,1.142602,0.719533
2,721,0.081026,0.984440,0.627280
2,727,0.132827,2.088835,0.933665
2,727,0.114194,1.638064,0.695099
2,727,0.127261,1.732052,0.660331
2,591,0.065566,0.890892,0.638569
2,690,0.088553,1.116156,0.713102
2,690,0.135407,2.075812,1.195674
2,690,0.088366,1.446163,0.656736
2,690,0.126370,2.581461,0.889260
3,299,0.042155,0.430226,0.571780
3,299,0.113665,0.751381,0.842522
3,299,0.088481,0.814061,0.737976
3,299,0.081063,0.757294,0.646815
3,299,0.060767,0.599218,0.499217
3,299,0.081888,0.908897,0.597444
4,193,0.071010,0.596357,0.549103
4,193,0.087578,0.587546,0.482230
4,193,0.084470,0.505771,0.673802
4,193,0.065881,0.407664,0.407870
4,193,0.088091,0.479311,0.681028
4,193,0.061941,0.323544,0.481412
5,234,0.103464,0.623775,0.956115
5,234,0.090096,0.330447,0.672102
5,234,0.125903,0.475839,1.125616
5,234,0.108227,0.433225,0.866777
5,234,0.104777,0.354453,0.894380
6,389,0.079079,0.612285,0.921755
6,389,0.150819,0.762758,1.330201
6,389,0.152489,0.805263,1.410124
6,389,0.119056,0.583512,0.830306
6,389,0.150886,0.860445,1.255635
7,414,0.104706,0.607709,1.008864
7,414,0.146211,0.667628,1.189963
7,414,0.169926,0.913535,1.255877
7,414,0.113343,0.564888,0.765287
7,414,0.126560,0.569163,0.849564
8,414,0.109115,0.585137,1.116543
8,414,0.206283,0.820040,1.780196
8,414,0.224333,0.875824,2.058280
8,414,0.204352,0.839968,1.271096
8,414,0.167626,0.719282,1.099183
9,543,0.123905,0.869011,1.124460
9,543,0.204994,1.092477,1.419301
9,543,0.259440,1.789390,1.855478
9,543,0.196564,1.469889,1.301755
9,543,0.205087,1.708821,1.243166
10,583,0.165409,1.417632,0.962666
10,566,0.341564,0.632516,1.870704
11,622,0.138745,0.617938,1.852588
12,625,0.196586,0.646124,1.982195
13,680,0.188777,0.704138,2.003182
14,769,0.208369,0.762925,2.108262
15,809,0.203472,0.817911,2.232329
15,809,0.415063,1.432007,4.686513
15,809,0.298009,0.963163,3.437046
15,809,0.534428,1.574548,5.565165
16,844,0.302937,0.844076,3.067912
16,840,0.444894,1.302998,3.839541
17,893,0.254266,0.858544,2.973006
17,889,0.294486,0.855527,2.355195
18,912,0.357846,0.887728,2.987836
18,903,0.359512,0.947591,2.882461
19,949,0.396972,0.904624,3.103589
19,945,0.317726,0.789480,2.390252
20,986,0.402912,0.906253,3.249229
20,981,0.345816,0.780848,2.418889
21,1016,0.419961,0.837947,3.035200
21,1012,0.377505,0.778482,2.292984
22,1022,0.470971,0.826894,3.002915
22,1019,0.364712,0.779085,2.249490
23,1038,0.471365,0.837979,2.929676
23,1036,0.365029,0.785300,2.347197
