#KF insert[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,0.000000,0.001932,2.408472,1.430002,0.000795,29.892394
0.000000,0.000000,0.000000,2.084360,0.907539,2.880399,0.000558,53.300591
0.000000,0.000000,0.000000,0.454905,0.910588,3.540978,0.000514,62.581639
0.000000,0.000000,0.000000,0.497208,0.506608,2.930258,0.000408,14.443315
0.000000,0.000000,0.000000,0.816827,0.574074,3.569107,0.000467,19.947588
0.000000,0.000000,0.000000,0.985373,2.334352,1.532250,0.000307,29.192338
0.000000,0.000000,0.000000,0.693502,0.482997,4.660049,0.000306,18.338913
0.000000,0.000000,0.000000,0.968595,1.124010,8.252877,0.000486,39.555497
0.000000,0.000000,0.000000,0.507089,1.076399,7.756791,0.000651,37.095963
0.000000,0.000000,0.000000,0.516540,0.467728,5.261341,0.060301,78.368034
0.000000,0.000000,0.000000,0.480192,0.357716,0.906342,0.000263,14.106447
0.000000,0.000000,0.000000,0.493653,0.801702,1.361655,0.000400,15.089557
0.000000,0.000000,0.000000,0.832969,0.710175,1.394969,0.000411,25.804808
0.000000,0.000000,0.000000,1.050717,0.821535,1.405749,0.000442,33.327883
0.000000,0.000000,0.000000,0.566047,0.911224,1.360885,0.095362,18.833114
0.000000,0.000000,0.000000,0.507389,0.811060,2.199758,0.000428,11.519883
0.000000,0.000000,0.000000,0.885271,1.565713,2.123350,0.014244,19.814636
0.000000,0.000000,0.000000,0.864269,0.949684,1.745195,0.000351,37.826896
0.000000,0.000000,0.000000,0.862568,0.664575,1.687912,0.000387,31.830423
0.000000,0.000000,0.000000,0.895336,0.683559,1.971432,0.092375,19.872296
0.000000,0.000000,0.000000,0.749880,2.505496,1.699213,0.000360,17.782851
0.000000,0.000000,0.000000,0.854402,1.038505,3.164615,0.000435,35.557545
0.000000,0.000000,0.000000,0.687443,0.739553,2.454545,0.000436,16.591180
0.000000,0.000000,0.000000,0.707078,0.613046,2.532624,0.000495,16.320956
0.000000,0.000000,0.000000,0.846861,2.495345,1.624960,0.000282,35.919743
0.000000,0.000000,0.000000,0.470937,0.686383,1.924778,0.000267,38.126640
0.000000,0.000000,0.000000,0.455701,1.130357,3.417299,0.000409,63.793160
0.000000,0.000000,0.000000,0.487211,0.652193,2.197479,0.000318,15.098426
0.000000,0.000000,0.000000,0.880006,0.802102,3.605005,0.079348,36.190601
0.000000,0.000000,0.000000,0.718018,0.377079,1.050065,0.000288,17.283513
0.000000,0.000000,0.000000,0.873808,1.188604,1.716616,0.000428,34.864129
0.000000,0.000000,0.000000,0.568640,1.046461,1.648629,0.000445,56.116742
0.000000,0.000000,0.000000,0.467022,0.750668,1.492638,0.000404,45.741531
0.000000,0.000000,0.000000,0.538420,0.513367,1.164105,0.000366,47.630729
0.000000,0.000000,0.000000,0.453890,0.659702,1.594975,0.094762,45.542781
0.000000,0.000000,0.000000,0.459697,0.512256,1.222911,0.000592,44.248541
0.000000,0.000000,0.000000,0.455758,0.742477,1.163414,0.000500,42.243918
0.000000,0.000000,0.000000,0.456630,0.737821,1.269777,0.000474,64.321216
0.000000,0.000000,0.000000,0.498659,0.547506,0.886108,0.000629,14.598606
0.000000,0.000000,0.000000,0.488350,0.782547,1.256247,0.000791,12.387122
0.000000,0.000000,0.000000,0.831615,0.534660,0.871592,0.057795,39.173305
0.000000,0.000000,0.000000,0.509595,0.835753,1.693992,0.000517,14.846107
0.000000,0.000000,0.000000,0.833010,1.005214,1.100786,0.000355,38.598446
0.000000,0.000000,0.000000,0.466628,1.555477,1.739190,0.000567,12.545191
0.000000,0.000000,0.000000,0.858360,1.292187,1.416642,0.000398,38.259573
0.000000,0.000000,0.000000,0.996349,1.101909,1.361997,0.086614,29.454190
0.000000,0.000000,0.000000,0.874514,0.821288,1.622652,0.000313,28.141320
0.000000,0.000000,0.000000,0.573236,1.821344,2.257341,0.000518,12.973214
0.000000,0.000000,0.000000,0.861761,1.925228,2.381586,0.000468,19.607423
0.000000,0.000000,0.000000,1.530722,1.224198,1.541532,0.000374,19.962424
0.000000,0.000000,0.000000,0.911989,1.622055,2.279278,0.094988,23.950129
0.000000,0.000000,0.000000,0.851237,1.001324,1.730396,0.000291,32.412151
0.000000,0.000000,0.000000,0.630747,1.524209,2.014456,0.000429,13.959457
0.000000,0.000000,0.000000,0.868478,1.926251,2.352466,0.000396,35.040977
0.000000,0.000000,0.000000,0.556140,1.035930,1.451003,0.000215,13.590646
0.000000,0.000000,0.000000,0.834852,1.249273,1.554112,0.060198,36.474616
0.000000,0.000000,0.000000,0.624746,1.115584,1.820278,0.000278,15.041082
0.000000,0.000000,0.000000,0.954373,2.067004,2.822851,0.000385,23.029178
0.000000,0.000000,0.000000,0.835680,2.214005,3.173814,0.000370,33.694442
0.000000,0.000000,0.000000,0.726586,2.117290,2.328955,0.000380,25.645567
0.000000,0.000000,0.000000,0.505273,1.477944,1.996214,0.066638,12.934378
0.000000,0.000000,0.000000,0.810255,1.022080,2.127510,0.000268,20.427584
0.000000,0.000000,0.000000,0.898587,1.729510,2.733352,0.000382,38.322325
0.000000,0.000000,0.000000,0.636611,2.698112,3.923011,0.000483,15.454143
0.000000,0.000000,0.000000,0.830255,1.610227,3.004310,0.000474,20.892694
0.000000,0.000000,0.000000,0.555495,1.358807,3.169558,0.085501,15.556201
0.000000,0.000000,0.000000,0.644491,0.821511,2.555731,0.000349,17.382275
0.000000,0.000000,0.000000,0.866140,0.057591,2.852081,0.081476,41.077630
0.000000,0.000000,0.000000,0.503846,0.045406,2.616706,0.073512,14.190304
0.000000,0.000000,0.000000,0.529187,0.041998,2.832980,0.073096,14.346640
0.000000,0.000000,0.000000,0.483554,0.048840,2.904263,0.078703,13.371114
0.000000,0.000000,0.000000,0.825253,0.050958,3.089928,0.079988,22.671768
0.000000,0.000000,0.000000,1.118930,0.037505,3.263888,0.018411,27.840238
0.000000,0.000000,0.000000,0.842123,0.079680,6.548920,0.028134,31.144444
0.000000,0.000000,0.000000,0.622382,0.052486,4.710519,0.022473,16.322627
0.000000,0.000000,0.000000,0.493963,0.113181,7.692266,0.129323,12.998184
0.000000,0.000000,0.000000,0.605204,0.050074,4.232642,0.064565,17.270260
0.000000,0.000000,0.000000,1.114728,0.076166,5.605247,0.126037,29.546958
0.000000,0.000000,0.000000,0.782688,0.040398,4.099574,0.027848,20.373308
0.000000,0.000000,0.000000,0.727998,0.046487,3.515778,0.078476,19.062318
0.000000,0.000000,0.000000,0.505961,0.049290,4.245347,0.024700,14.236971
0.000000,0.000000,0.000000,0.479940,0.053211,4.202453,0.093136,28.259586
0.000000,0.000000,0.000000,0.475801,0.056118,4.417707,0.064395,14.790386
0.000000,0.000000,0.000000,0.482111,0.044219,3.507846,0.075500,12.632423
0.000000,0.000000,0.000000,0.495642,0.051520,4.579301,0.039917,16.515099
0.000000,0.000000,0.000000,0.478602,0.046939,3.556474,0.081918,14.966149
0.000000,0.000000,0.000000,0.481802,0.052185,4.340858,0.087194,13.482990
0.000000,0.000000,0.000000,1.007805,0.049120,3.459092,0.087834,43.297671
0.000000,0.000000,0.000000,0.556679,0.051464,4.312577,0.023165,16.661350
0.000000,0.000000,0.000000,1.115508,0.046416,3.402969,0.091094,31.703143
0.000000,0.000000,0.000000,0.488970,0.048338,4.258155,0.032131,14.563948
0.000000,0.000000,0.000000,0.769547,0.044762,3.507960,0.087043,20.643410
0.000000,0.000000,0.000000,0.465698,0.044558,4.095189,0.027359,14.773885
0.000000,0.000000,0.000000,0.472621,0.038895,3.502251,0.087597,13.281953
0.000000,0.000000,0.000000,0.509481,0.055412,4.364813,0.034023,14.444729
0.000000,0.000000,0.000000,0.563488,0.041513,3.581941,0.085794,14.911021
0.000000,0.000000,0.000000,0.516047,0.045005,4.113031,0.028438,14.669443
0.000000,0.000000,0.000000,0.514594,0.044289,3.698353,0.086287,13.089905
0.000000,0.000000,0.000000,0.477329,0.041983,4.354758,0.028081,14.377565
0.000000,0.000000,0.000000,0.483832,0.044534,3.844057,0.088665,13.281961
0.000000,0.000000,0.000000,0.492809,0.061603,4.937470,0.045909,14.577747
0.000000,0.000000,0.000000,0.474669,0.056889,4.035433,0.041284,13.065405
0.000000,0.000000,0.000000,0.513391,0.086210,7.406802,0.136525,14.598897
0.000000,0.000000,0.000000,0.486559,0.055893,5.444657,0.034754,13.542008
0.000000,0.000000,0.000000,0.478817,0.057914,4.798655,0.052742,14.830849
0.000000,0.000000,0.000000,0.474196,0.045145,4.121492,0.078954,14.045073
0.000000,0.000000,0.000000,0.485293,0.055791,4.933461,0.040555,14.832986
0.000000,0.000000,0.000000,0.477462,0.041243,4.171681,0.077365,14.575997
0.000000,0.000000,0.000000,0.519204,0.042582,4.603309,0.030145,15.141822
0.000000,0.000000,0.000000,0.480130,0.054835,4.304123,0.026434,13.934067
0.000000,0.000000,0.000000,0.504959,0.057385,4.639827,0.079546,14.726922
0.000000,0.000000,0.000000,0.486901,0.054369,5.607474,0.031851,13.605885
0.000000,0.000000,0.000000,0.481863,0.057454,4.793150,0.049892,14.276860
0.000000,0.000000,0.000000,0.485082,0.046941,3.878992,0.079024,15.962549
0.000000,0.000000,0.000000,3.693861,0.056908,4.782872,0.030569,18.489693
0.000000,0.000000,0.000000,0.508165,0.085947,6.408661,0.126897,21.317128
0.000000,0.000000,0.000000,0.845480,0.046522,4.799637,0.027274,41.470812
0.000000,0.000000,0.000000,0.591919,2.477858,0.910999,0.000342,17.896735
0.000000,0.000000,0.000000,0.514156,0.869688,1.814074,0.000540,15.624890
0.000000,0.000000,0.000000,0.487162,0.712335,1.403256,0.000423,14.328170
0.000000,0.000000,0.000000,0.490792,1.079462,1.848895,0.000549,15.654976
0.000000,0.000000,0.000000,0.520820,0.911760,1.729953,0.096873,14.701164
0.000000,0.000000,0.000000,0.500536,0.533751,1.576112,0.000318,15.039580
0.000000,0.000000,0.000000,0.494142,1.986694,2.051566,0.000410,15.114055
0.000000,0.000000,0.000000,0.490238,1.222732,1.271734,0.000336,14.947636
0.000000,0.000000,0.000000,0.674199,1.914187,2.239652,0.000456,21.838499
0.000000,0.000000,0.000000,0.499319,1.935374,2.054789,0.100902,16.129517
0.000000,0.000000,0.000000,0.491620,0.978640,2.301689,0.000312,14.072158
0.000000,0.000000,0.000000,0.476039,2.623764,2.278449,0.000369,15.409305
0.000000,0.000000,0.000000,0.888425,3.247001,3.300003,0.000644,41.687963
0.000000,0.000000,0.000000,0.530767,2.513613,2.564205,0.000398,16.671537
0.000000,0.000000,0.000000,0.467812,3.146304,3.461701,0.094670,9.327549
0.000000,0.000000,0.000000,0.506709,1.687258,2.256330,0.000290,30.090298
0.000000,0.000000,0.000000,0.473045,2.240769,2.865446,0.000330,46.038494
0.000000,0.000000,0.000000,0.507132,3.198724,3.167973,0.000414,63.631707
0.000000,0.000000,0.000000,0.875342,2.159414,3.149891,0.000383,13.528820
0.000000,0.000000,0.000000,0.624117,1.383728,2.390364,0.060103,37.088838
0.000000,0.000000,0.000000,0.950162,1.215641,2.406525,0.000244,15.282412
